Episode,Reward,Steps
1,3015.1176089424116,901
2,4728.216484853079,1414
3,2996.7060831912963,897
4,6725.49003393529,2022
5,2720.9918705358505,818
6,3774.423992400368,1157
7,4392.882851120614,1332
8,2071.860570906769,635
9,2150.4307696099613,647
10,3018.6833376246473,908
